Scientific Name,USDA SYMBOL,CoC Region,CVal Orig,CVal New
AGRIMONIA PARVIFLORA,AGPA6,62,3,3
AGRIMONIA PARVIFLORA,AGPA6,IN,4,4
AGRIMONIA PARVIFLORA,AGPA6,MI,4,4
AGROSTIS,AGROS2,58,NA,4
AGROSTIS,AGROS2,83,NA,1
AGROSTIS,AGROS2,MI,NA,Und
AGROSTIS CAPILLARIS,AGCA5,58,0,0
AGROSTIS CAPILLARIS,AGCA5,59,0,0
AGROSTIS CAPILLARIS,AGCA5,59,0,0
AGROSTIS CAPILLARIS,AGCA5,83,0,0
AGROSTIS GIGANTEA,AGGI2,58,0,0
AGROSTIS GIGANTEA,AGGI2,61,NA,0
AGROSTIS GIGANTEA,AGGI2,83,0,0
AGROSTIS GIGANTEA,AGGI2,MI,0,0
AGROSTIS GIGANTEA,AGGI2,MN,0,0
AGROSTIS GIGANTEA,AGGI2,WI,0,0
AGROSTIS HYEMALIS,AGHY,58,3,3
AGROSTIS HYEMALIS,AGHY,62,4,4
AGROSTIS HYEMALIS,AGHY,83,3,3
AGROSTIS HYEMALIS,AGHY,MN,8,8
AGROSTIS HYEMALIS,AGHY,WI,4,4
AGROSTIS PERENNANS,AGPE,58,3,3
AGROSTIS PERENNANS,AGPE,59,3,3
AGROSTIS PERENNANS,AGPE,83,4,4
AGROSTIS PERENNANS,AGPE,83,4,4
AGROSTIS PERENNANS,AGPE,MI,5,5
AGROSTIS PERENNANS,AGPE,MN,3,3
AGROSTIS PERENNANS,AGPE,WI,4,4
AGROSTIS SCABRA,AGSC5,58,2,2
AGROSTIS SCABRA,AGSC5,58,2,2
AGROSTIS SCABRA,AGSC5,58,2,2
AGROSTIS SCABRA,AGSC5,59,3,3
AGROSTIS SCABRA,AGSC5,MI,NA,4
AGROSTIS SCABRA,AGSC5,MN,2,2
AGROSTIS SCABRA,AGSC5,WI,NA,2
AGROSTIS STOLONIFERA,AGST2,58,3,3
AGROSTIS STOLONIFERA,AGST2,59,3,3
AGROSTIS STOLONIFERA,AGST2,59,3,3
AGROSTIS STOLONIFERA,AGST2,83,3,3
AGROSTIS STOLONIFERA,AGST2,MI,0,0
AGROSTIS STOLONIFERA,AGST2,MN,1,1
AGROSTIS STOLONIFERA,AGST2,WI,0,0
ALISMA,ALISM,59,NA,5
ALISMA,ALISM,83,NA,4
ALISMA SUBCORDATUM,ALSU,59,4,4
ALISMA SUBCORDATUM,ALSU,59,4,4
ALISMA SUBCORDATUM,ALSU,83,4,4
ALISMA SUBCORDATUM,ALSU,MI,NA,1
ALISMA SUBCORDATUM,ALSU,MN,4,4
ALISMA TRIVIALE,ALTR7,58,4,4
ALISMA TRIVIALE,ALTR7,59,5,5
ALISMA TRIVIALE,ALTR7,83,4,4
ALISMA TRIVIALE,ALTR7,83,4,4
ALISMA TRIVIALE,ALTR7,MI,NA,1
ALISMA TRIVIALE,ALTR7,MN,4,4
ALISMA TRIVIALE,ALTR7,WI,4,4
ALISMATACEAE,ALISMA,MN,NA,Und
ALLIARIA PETIOLATA,ALPE4,58,0,0
ALLIARIA PETIOLATA,ALPE4,59,0,0
ALLIARIA PETIOLATA,ALPE4,59,0,0
ALLIARIA PETIOLATA,ALPE4,60,NA,0
ALLIARIA PETIOLATA,ALPE4,61,NA,0
ALLIARIA PETIOLATA,ALPE4,62,NA,0
ALLIARIA PETIOLATA,ALPE4,83,0,0
ALLIARIA PETIOLATA,ALPE4,IN,0,0
ALLIARIA PETIOLATA,ALPE4,MI,0,0
ALLIUM,ALLIU,59,NA,Und
ALLIUM CANADENSE,ALCA3,59,4,4
ALLIUM TRICOCCUM,ALTR3,MI,5,5
ALLIUM VINEALE,ALVI,MI,0,0
ALNUS,ALNUS,MI,NA,7
ALNUS INCANA,ALIN2,58,NA,4
ALNUS INCANA,ALIN2,58,NA,4
ALNUS INCANA,ALIN2,58,NA,4
ALNUS INCANA,ALIN2,58,NA,4
ALNUS INCANA,ALIN2,58,NA,4
ALNUS INCANA,ALIN2,59,NA,5
ALNUS INCANA,ALIN2,59,NA,5
ALNUS INCANA,ALIN2,59,NA,5
